pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,habitability_class
55 Cnc e,55 Cnc,0,2,5,Radial Velocity,0.7365437,0.01544,2.08,0.18556517,0.061,1958.0,5234.0,0.943,0.905,Not-Habitable Terrestrial
AU Mic b,AU Mic,0,1,3,Transit,8.463,0.0645,4.07,0.3631017,0.0,593.0,3700.0,0.75,0.5,Not-Habitable Terrestrial
AU Mic b,AU Mic,1,1,3,Transit,8.46308,0.0649,3.95677019,0.353,0.00577,600.0,3678.0,0.744,0.51,Not-Habitable Terrestrial
AU Mic c,AU Mic,0,1,3,Transit,18.859019,0.1101,3.24,0.28905394,0.0,454.0,3700.0,0.75,0.5,Not-Habitable Terrestrial
AU Mic c,AU Mic,1,1,3,Transit,18.85969,0.1108,2.52202066,0.225,0.00338,459.0,3678.0,0.744,0.51,Not-Habitable Terrestrial
BD+20 594 b,BD+20 594,0,1,1,Transit,41.6855,0.241,2.23,0.19894727,0.0,546.0,5766.0,0.928,0.961,Not-Habitable Terrestrial
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,4.2889731,0.0656,21.59,1.926,0.066,2001.0,6935.0,2.35,1.41,Hot Jupiters
CoRoT-1 b,CoRoT-1,0,1,1,Transit,1.508976552,0.0259,15.91678,1.42,0.071,1834.0,5950.0,,,Hot Jupiters
CoRoT-1 b,CoRoT-1,0,1,1,Transit,1.5089686,0.02536,17.385159,1.551,,1915.0,5950.0,1.131,0.95,Hot Jupiters
CoRoT-10 b,CoRoT-10,1,1,1,Transit,13.2406,0.1055,10.87,0.97,0.53,600.0,5075.0,0.79,0.89,Hot Jupiters
CoRoT-10 b,CoRoT-10,0,1,1,Transit,13.2406,0.106,10.547669,0.941,,647.0,5075.0,0.743,0.904,Hot Jupiters
CoRoT-11 b,CoRoT-11,0,1,1,Transit,2.99433,0.044,15.984034,1.426,,1735.0,6440.0,1.374,1.26,Hot Jupiters
CoRoT-11 b,CoRoT-11,0,1,1,Transit,2.994325,0.04351,15.58051,1.39,0.0,1715.0,,1.33,1.23,Hot Jupiters
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2.99433,0.0436,16.03,1.43,0.0,1657.0,6440.0,1.37,1.27,Hot Jupiters
CoRoT-12 b,CoRoT-12,0,1,1,Transit,2.82805268,0.0392,15.064896,1.344,,1417.0,,1.049,1.0,Hot Jupiters
CoRoT-12 b,CoRoT-12,0,1,1,Transit,2.828042,0.0394,15.13215,1.35,,1410.0,5675.0,1.046,1.018,Hot Jupiters
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2.828042,0.04016,16.14,1.44,0.07,1442.0,5675.0,1.116,1.078,Hot Jupiters
CoRoT-13 b,CoRoT-13,0,1,1,Transit,4.03519,0.051,14.033668,1.252,,1432.0,5945.0,1.274,1.086,Hot Jupiters
CoRoT-13 b,CoRoT-13,1,1,1,Transit,4.03519,0.051,9.92,0.885,0.0,1700.0,5945.0,1.01,1.09,Hot Jupiters
CoRoT-14 b,CoRoT-14,0,1,1,Transit,1.51214,0.02687,11.410762,1.018,,1936.0,6035.0,1.19,1.125,Hot Jupiters
CoRoT-14 b,CoRoT-14,1,1,1,Transit,1.51214,0.027,12.22,1.09,0.0,1952.0,6035.0,1.21,1.13,Hot Jupiters
CoRoT-17 b,CoRoT-17,1,1,1,Transit,3.7681,0.0461,11.43,1.02,0.0,1626.0,5740.0,1.59,1.04,Hot Jupiters
CoRoT-17 b,CoRoT-17,0,1,1,Transit,3.7681,0.0481,11.287463,1.007,,1610.0,5740.0,1.62,1.043,Hot Jupiters
CoRoT-18 b,CoRoT-18,1,1,1,Transit,1.9000693,0.0295,14.68,1.31,0.08,1550.0,5440.0,1.0,0.95,Hot Jupiters
CoRoT-18 b,CoRoT-18,0,1,1,Transit,1.9000693,0.0286,14.022459,1.251,,1490.0,5440.0,0.924,0.861,Hot Jupiters
CoRoT-18 b,CoRoT-18,0,1,1,Transit,1.90009,0.0288,12.845514,1.146,,1487.0,,0.883,0.88,Hot Jupiters
CoRoT-19 b,CoRoT-19,1,1,1,Transit,3.89713,0.0518,14.46,1.29,0.047,2000.0,6090.0,1.65,1.21,Hot Jupiters
CoRoT-19 b,CoRoT-19,0,1,1,Transit,3.89713,0.0512,13.33871,1.19,,1630.0,6090.0,1.576,1.181,Hot Jupiters
CoRoT-2 b,CoRoT-2,0,2,1,Transit,1.7429935,0.02835,16.36514,1.46,,1521.0,5598.0,0.901,0.997,Hot Jupiters
CoRoT-2 b,CoRoT-2,0,2,1,Transit,1.7429935,0.02854,16.47723,1.47,,1548.0,5696.0,0.907,1.018,Hot Jupiters
CoRoT-20 b,CoRoT-20,0,1,2,Transit,9.24285,0.0892,13.00244,1.16,,1100.0,5880.0,1.34,1.11,Hot Jupiters
CoRoT-20 b,CoRoT-20,0,1,2,Transit,9.24285,0.0902,9.42,0.84,0.562,1002.0,5880.0,1.02,1.14,Hot Jupiters
CoRoT-20 b,CoRoT-20,0,1,2,Transit,9.24318,0.0891,11.209,1.0,,1024.0,,1.16,1.1,Hot Jupiters
CoRoT-22 b,CoRoT-22,1,1,1,Transit,9.75598,0.092,4.88,0.435,0.077,885.0,5939.0,1.136,1.099,Not-Habitable Terrestrial
CoRoT-23 b,CoRoT-23,0,1,1,Transit,3.6313,0.04809,13.22662,1.18,,1710.0,5900.0,1.74,1.122,Hot Jupiters
CoRoT-23 b,CoRoT-23,1,1,1,Transit,3.6313,0.048,11.77,1.05,0.16,1660.0,5900.0,1.61,1.14,Hot Jupiters
CoRoT-24 b,CoRoT-24,1,1,2,Transit,5.1134,0.056,3.7,0.33,0.0,1070.0,4950.0,0.86,0.91,Not-Habitable Terrestrial
CoRoT-24 c,CoRoT-24,1,1,2,Transit,11.759,0.098,5.0,0.44,0.0,850.0,4950.0,0.86,0.91,Not-Habitable Terrestrial
CoRoT-25 b,CoRoT-25,1,1,1,Transit,4.86069,0.0578,12.11,1.08,0.0,1330.0,6040.0,1.19,1.09,Hot Jupiters
CoRoT-26 b,CoRoT-26,1,1,1,Transit,4.20474,0.0526,14.12,1.26,0.0,1600.0,5590.0,1.79,1.09,Hot Jupiters
CoRoT-27 b,CoRoT-27,1,1,1,Transit,3.57532,0.0476,11.287,1.007,0.065,1500.0,5900.0,1.08,1.05,Hot Jupiters
CoRoT-3 b,CoRoT-3,0,1,1,Transit,4.2567994,0.05783,11.623733,1.037,,1695.0,6740.0,1.575,1.403,Hot Jupiters
CoRoT-35 b,CoRoT-35,1,1,1,Transit,3.22748,0.0429,18.83108758,1.68,0.0,1747.0,6390.0,1.65,1.01,Hot Jupiters
CoRoT-36 b,CoRoT-36,1,1,1,Transit,5.616531,0.066,15.80466279,1.41,0.0,1567.0,6730.0,1.52,1.32,Hot Jupiters
CoRoT-4 b,CoRoT-4,1,1,1,Transit,9.20205,0.09,13.34,1.19,0.0,1074.0,6190.0,1.17,1.16,Hot Jupiters
CoRoT-4 b,CoRoT-4,0,1,1,Transit,9.20205,0.0912,13.00244,1.16,,1058.0,6190.0,1.1475,1.194,Hot Jupiters
CoRoT-5 b,CoRoT-5,0,1,1,Transit,4.0379156,0.0495,14.078504,1.256,,1397.0,,1.115,0.99,Hot Jupiters
CoRoT-5 b,CoRoT-5,1,1,1,Transit,4.0378962,0.04947,15.558,1.388,0.09,1438.0,6100.0,1.186,1.0,Hot Jupiters
CoRoT-5 b,CoRoT-5,0,1,1,Transit,4.0378962,0.05004,13.249038,1.182,,1348.0,6100.0,1.0516,1.025,Hot Jupiters
CoRoT-6 b,CoRoT-6,0,1,1,Transit,8.886593,0.0855,13.282665,1.185,,1025.0,6090.0,1.043,1.054,Hot Jupiters
CoRoT-6 b,CoRoT-6,1,1,1,Transit,8.886593,0.0855,13.068,1.166,0.1,1017.0,6090.0,1.025,1.05,Hot Jupiters
CoRoT-7 b,CoRoT-7,0,1,3,Transit,0.853585,0.0169,1.860694,0.166,,1910.0,5250.0,0.96,0.884,Not-Habitable Terrestrial
